statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009020307;3.2;1100
20303;2009020308;3.2;1100
20303;2009020309;3.2;1100
20303;2009020310;3.2;1100
20303;2009020311;3.2;1100
20303;2009020312;3.2;1100
20303;2009020313;3.2;1100
20303;2009020314;3.2;1100
20303;2009020315;3.2;1100
20303;2009020316;3.2;1100
20303;2009020317;3.2;1100
20303;2009020318;3.2;1100
20303;2009020319;3.1;1100
20303;2009020320;3.2;1100
20303;2009020321;3.2;1100
20303;2009020322;3.2;1100
20303;2009020323;3.2;1100
20303;2009020400;3.2;1100
20303;2009020401;3.2;1100
20303;2009020402;3.2;1100
20303;2009020403;3.2;1100
20303;2009020404;3.1;1100
20303;2009020405;3.1;1100
20303;2009020406;3.1;1100
20303;2009020407;3.1;1100
20303;2009020408;3.1;1100
20303;2009020409;3.1;1100
20303;2009020410;3.1;1100
20303;2009020411;3.1;1100
20303;2009020412;3.1;1100
20303;2009020413;3.1;1100
20303;2009020414;3.1;1100
20303;2009020415;3.1;1100
20303;2009020416;3.1;1100
20303;2009020417;3;1100
20303;2009020418;3;1100
20303;2009020419;2.9;1100
20303;2009020420;2.9;1100
20303;2009020421;2.9;1100
20303;2009020422;2.9;1100
20303;2009020423;2.9;1100
20303;2009020500;2.9;1100
20303;2009020501;2.9;1100
20303;2009020502;2.9;1100
20303;2009020503;2.9;1100
20303;2009020504;2.9;1100
20303;2009020505;2.8;1100
20303;2009020506;2.8;1100
20303;2009020507;2.8;1100
20303;2009020508;2.7;1100
20303;2009020509;2.7;1100
20303;2009020510;2.7;1100
20303;2009020511;2.7;1100
20303;2009020512;2.8;1100
20303;2009020513;2.8;1100
20303;2009020514;2.8;1100
20303;2009020515;2.8;1100
20303;2009020516;2.8;1100
20303;2009020517;2.7;1100
20303;2009020518;2.7;1100
20303;2009020519;2.7;1100
20303;2009020520;2.6;1100
20303;2009020521;2.6;1100
20303;2009020522;2.6;1100
20303;2009020523;2.6;1100
20303;2009020600;2.6;1100
20303;2009020601;2.6;1100
20303;2009020602;2.6;1100
20303;2009020603;2.5;1100
