statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
610900;2009013102; 7.5739;1000
610900;2009013103; 7.6662;1000
610900;2009013104; 7.7687;1000
610900;2009013105; 7.7225;1000
610900;2009013106; 7.6046;1000
610900;2009013107; 7.4195;1000
610900;2009013108; 7.2032;1000
610900;2009013109; 6.9780;1000
610900;2009013110; 7.0110;1000
610900;2009013111; 6.7496;1000
610900;2009013112; 6.4645;1000
610900;2009013113; 6.2432;1000
610900;2009013114; 6.1487;1000
610900;2009013115; 6.0792;1000
610900;2009013116; 5.9764;1000
610900;2009013117; 5.8427;1000
610900;2009013118; 5.7470;1000
610900;2009013119; 5.8073;1000
610900;2009013120; 5.9843;1000
610900;2009013121; 6.2829;1000
610900;2009013122; 6.9829;1000
610900;2009013123; 7.1420;1000
610900;2009020100; 6.8481;1000
610900;2009020101; 6.2763;1000
610900;2009020102; 5.4882;1000
610900;2009020103; 4.9464;1000
610900;2009020104; 4.7277;1000
610900;2009020105; 4.5652;1000
610900;2009020106; 4.5186;1000
610900;2009020107; 4.4391;1000
610900;2009020108; 4.3209;1000
610900;2009020109; 4.1029;1000
610900;2009020110; 4.1033;1000
610900;2009020111; 4.1859;1000
610900;2009020112; 4.4490;1000
610900;2009020113; 4.6531;1000
610900;2009020114; 4.7099;1000
610900;2009020115; 4.6941;1000
610900;2009020116; 4.5962;1000
610900;2009020117; 4.5299;1000
610900;2009020118; 4.5856;1000
610900;2009020119; 4.7496;1000
610900;2009020120; 4.9519;1000
610900;2009020121; 5.1161;1000
610900;2009020122; 5.4379;1000
610900;2009020123; 5.6252;1000
610900;2009020200; 5.8099;1000
610900;2009020201; 6.0439;1000
610900;2009020202; 6.2550;1000
610900;2009020203; 6.4628;1000
610900;2009020204; 6.5862;1000
610900;2009020205; 6.4820;1000
610900;2009020206; 6.3080;1000
610900;2009020207; 6.1610;1000
610900;2009020208; 6.0332;1000
610900;2009020209; 5.9403;1000
610900;2009020210; 5.5392;1000
610900;2009020211; 5.4699;1000
610900;2009020212; 5.6376;1000
610900;2009020213; 5.8514;1000
610900;2009020214; 6.0335;1000
610900;2009020215; 6.3149;1000
610900;2009020216; 6.4582;1000
610900;2009020217; 6.5590;1000
610900;2009020218; 6.6228;1000
610900;2009020219; 6.7174;1000
610900;2009020220; 6.9857;1000
610900;2009020221; 7.3380;1000
610900;2009020222; 7.7305;1000
610900;2009020223; 7.8439;1000
610900;2009020300; 7.9258;1000
610900;2009020301; 8.1496;1000
610900;2009020302; 8.4946;1000
610900;2009020303; 8.9336;1000
610900;2009020304; 9.3961;1000
610900;2009020305; 9.8209;1000
610900;2009020306;10.3192;1000
610900;2009020307;10.8949;1000
610900;2009020308;11.4876;1000
610900;2009020309;12.0352;1000
610900;2009020310;12.5616;1000
610900;2009020311;12.7651;1000
610900;2009020312;12.9188;1000
610900;2009020313;12.9597;1000
610900;2009020314;13.0296;1000
610900;2009020315;13.1595;1000
610900;2009020316;13.3133;1000
610900;2009020317;13.3968;1000
610900;2009020318;13.3402;1000
610900;2009020319;13.1984;1000
610900;2009020320;13.1500;1000
610900;2009020321;13.2429;1000
610900;2009020322;12.9909;1000
610900;2009020323;12.9868;1000
610900;2009020400;12.9244;1000
610900;2009020401;12.7430;1000
610900;2009020402;12.4698;1000
610900;2009020403;12.3554;1000
610900;2009020404;12.3989;1000
610900;2009020405;12.4893;1000
610900;2009020406;12.5804;1000
610900;2009020407;12.7432;1000
610900;2009020408;12.9610;1000
610900;2009020409;13.0014;1000
610900;2009020410;12.9133;1000
610900;2009020411;12.5837;1000
