statid;timeobs;Diffuse_irradiance_mean_[W/m^2];Quality_label
619700;2010111116;0;1000
619700;2010111117;0;1000
619700;2010111118;0;1000
619700;2010111119;0;1000
619700;2010111120;0;1000
619700;2010111121;0;1000
619700;2010111122;0;1000
619700;2010111123;0;1000
619700;2010111200;0;1000
619700;2010111201;0;1000
619700;2010111202;0;1000
619700;2010111203;0;1000
619700;2010111204;0;1000
619700;2010111205;0;1000
619700;2010111206;0;1000
619700;2010111207;4;1000
619700;2010111208;22;1000
619700;2010111209;38;1000
619700;2010111210;59;1000
619700;2010111211;98.3;1000
619700;2010111212;91.5;1000
619700;2010111213;61.8;1000
619700;2010111214;20;1000
619700;2010111215;3;1000
619700;2010111216;0;1000
619700;2010111217;0;1000
619700;2010111218;0;1000
619700;2010111219;0;1000
619700;2010111220;0;1000
619700;2010111221;0;1000
619700;2010111222;0;1000
619700;2010111223;0;1000
619700;2010111300;0;1000
619700;2010111301;0;1000
619700;2010111302;0;1000
619700;2010111303;0;1000
619700;2010111304;0;1000
619700;2010111305;0;1000
619700;2010111306;0;1000
619700;2010111307;8.9;1000
619700;2010111308;41.1;1000
619700;2010111309;66.6;1000
619700;2010111310;93;1000
619700;2010111311;108.6;1000
619700;2010111312;108.4;1000
619700;2010111313;75.9;1000
619700;2010111314;37.9;1000
619700;2010111315;8;1000
619700;2010111316;0;1000
619700;2010111317;0;1000
619700;2010111318;0;1000
619700;2010111319;0;1000
619700;2010111320;0;1000
619700;2010111321;0;1000
619700;2010111322;0;1000
619700;2010111323;0;1000
619700;2010111400;0;1000
619700;2010111401;0;1000
619700;2010111402;0;1000
619700;2010111403;0;1000
619700;2010111404;0;1000
619700;2010111405;0;1000
619700;2010111406;0;1000
619700;2010111407;3;1000
619700;2010111408;26.9;1000
619700;2010111409;45;1000
619700;2010111410;54;1000
619700;2010111411;33;1000
619700;2010111412;38;1000
619700;2010111413;17;1000
619700;2010111414;9;1000
619700;2010111415;6;1000
619700;2010111416;0;1000
619700;2010111417;0;1000
619700;2010111418;0;1000
619700;2010111419;0;1000
619700;2010111420;0;1000
619700;2010111421;0;1000
619700;2010111422;0;1000
619700;2010111423;0;1000
619700;2010111500;0;1000
619700;2010111501;0;1000
619700;2010111502;0;1000
619700;2010111503;0;1000
619700;2010111504;0;1000
619700;2010111505;0;1000
619700;2010111506;0;1000
619700;2010111507;3.3;1000
619700;2010111508;21;1000
619700;2010111509;74.2;1000
619700;2010111510;61.6;1000
619700;2010111511;102.3;1000
619700;2010111512;119;1000
619700;2010111513;99.1;1000
619700;2010111514;61.1;1000
619700;2010111515;12.4;1000
619700;2010111516;0;1000
619700;2010111517;0;1000
619700;2010111518;0;1000
619700;2010111519;0;1000
619700;2010111520;0;1000
619700;2010111521;0;1000
619700;2010111522;0;1000
619700;2010111523;0;1000
619700;2010111600;0;1000
619700;2010111601;0;1000
619700;2010111602;0;1000
619700;2010111603;0;1000
619700;2010111604;0;1000
619700;2010111605;0;1000
619700;2010111606;0;1000
619700;2010111607;3;1000
619700;2010111608;30.6;1000
619700;2010111609;77.7;1000
619700;2010111610;96.4;1000
619700;2010111611;84.3;1000
619700;2010111612;93.7;1000
619700;2010111613;57.9;1000
619700;2010111614;32;1000
619700;2010111615;6;1000
619700;2010111616;0;1000
619700;2010111617;0;1000
619700;2010111618;0;1000
619700;2010111619;0;1000
619700;2010111620;0;1000
619700;2010111621;0;1000
619700;2010111622;0;1000
619700;2010111623;0;1000
619700;2010111700;0;1000
619700;2010111701;0;1000
619700;2010111702;0;1000
619700;2010111703;0;1000
619700;2010111704;0;1000
619700;2010111705;0;1000
619700;2010111706;0;1000
619700;2010111707;1;1000
619700;2010111708;8;1000
619700;2010111709;18;1000
619700;2010111710;33;1000
619700;2010111711;42;1000
619700;2010111712;49;1000
619700;2010111713;35;1000
619700;2010111714;20;1000
619700;2010111715;6;1000
619700;2010111716;0;1000
619700;2010111717;0;1000
619700;2010111718;0;1000
619700;2010111719;0;1000
619700;2010111720;0;1000
619700;2010111721;0;1000
619700;2010111722;0;1000
619700;2010111723;0;1000
619700;2010111800;0;1000
619700;2010111801;0;1000
619700;2010111802;0;1000
619700;2010111803;0;1000
619700;2010111804;0;1000
619700;2010111805;0;1000
619700;2010111806;0;1000
619700;2010111807;1;1000
619700;2010111808;11;1000
619700;2010111809;23;1000
619700;2010111810;28;1000
619700;2010111811;41;1000
619700;2010111812;34;1000
619700;2010111813;28;1000
619700;2010111814;25;1000
619700;2010111815;3;1000
619700;2010111816;0;1000
619700;2010111817;0;1000
619700;2010111818;0;1000
619700;2010111819;0;1000
619700;2010111820;0;1000
619700;2010111821;0;1000
619700;2010111822;0;1000
619700;2010111823;0;1000
619700;2010111900;0;1000
619700;2010111901;0;1000
619700;2010111902;0;1000
619700;2010111903;0;1000
619700;2010111904;0;1000
619700;2010111905;0;1000
619700;2010111906;0;1000
619700;2010111907;0;1000
619700;2010111908;4;1000
619700;2010111909;8;1000
619700;2010111910;12;1000
619700;2010111911;15;1000
619700;2010111912;17;1000
619700;2010111913;20;1000
619700;2010111914;14;1000
619700;2010111915;3;1000
619700;2010111916;0;1000
619700;2010111917;0;1000
619700;2010111918;0;1000
619700;2010111919;0;1000
619700;2010111920;0;1000
619700;2010111921;0;1000
619700;2010111922;0;1000
619700;2010111923;0;1000
619700;2010112000;0;1000
619700;2010112001;0;1000
619700;2010112002;0;1000
619700;2010112003;0;1000
619700;2010112004;0;1000
619700;2010112005;0;1000
619700;2010112006;0;1000
619700;2010112007;0;1000
619700;2010112008;14;1000
619700;2010112009;21;1000
619700;2010112010;33;1000
619700;2010112011;35;1000
619700;2010112012;53;1000
619700;2010112013;50.9;1000
619700;2010112014;17;1000
619700;2010112015;3;1000
619700;2010112016;0;1000
619700;2010112017;0;1000
619700;2010112018;0;1000
619700;2010112019;0;1000
619700;2010112020;0;1000
619700;2010112021;0;1000
619700;2010112022;0;1000
619700;2010112023;0;1000
619700;2010112100;0;1000
619700;2010112101;0;1000
619700;2010112102;0;1000
619700;2010112103;0;1000
619700;2010112104;0;1000
619700;2010112105;0;1000
619700;2010112106;0;1000
619700;2010112107;0;1000
619700;2010112108;4;1000
619700;2010112109;31;1000
619700;2010112110;39;1000
619700;2010112111;76.1;1000
619700;2010112112;39;1000
619700;2010112113;17;1000
619700;2010112114;21;1000
619700;2010112115;4;1000
619700;2010112116;0;1000
619700;2010112117;0;1000
619700;2010112118;0;1000
619700;2010112119;0;1000
619700;2010112120;0;1000
619700;2010112121;0;1000
619700;2010112122;0;1000
619700;2010112123;0;1000
619700;2010112200;0;1000
619700;2010112201;0;1000
619700;2010112202;0;1000
619700;2010112203;0;1000
619700;2010112204;0;1000
619700;2010112205;0;1000
619700;2010112206;0;1000
619700;2010112207;0;1000
619700;2010112208;6;1000
619700;2010112209;18;1000
619700;2010112210;16;1000
619700;2010112211;13;1000
619700;2010112212;12;1000
619700;2010112213;6;1000
619700;2010112214;3;1000
619700;2010112215;0;1000
619700;2010112216;0;1000
619700;2010112217;0;1000
619700;2010112218;0;1000
619700;2010112219;0;1000
619700;2010112220;0;1000
619700;2010112221;0;1000
619700;2010112222;0;1000
619700;2010112223;0;1000
619700;2010112300;0;1000
619700;2010112301;0;1000
619700;2010112302;0;1000
619700;2010112303;0;1000
619700;2010112304;0;1000
619700;2010112305;0;1000
619700;2010112306;0;1000
619700;2010112307;0;1000
619700;2010112308;5;1000
619700;2010112309;17;1000
619700;2010112310;24;1000
619700;2010112311;43;1000
619700;2010112312;58;1000
619700;2010112313;45;1000
619700;2010112314;27;1000
619700;2010112315;3;1000
619700;2010112316;0;1000
619700;2010112317;0;1000
619700;2010112318;0;1000
619700;2010112319;0;1000
619700;2010112320;0;1000
619700;2010112321;0;1000
619700;2010112322;0;1000
619700;2010112323;0;1000
619700;2010112400;0;1000
619700;2010112401;0;1000
619700;2010112402;0;1000
619700;2010112403;0;1000
619700;2010112404;0;1000
619700;2010112405;0;1000
619700;2010112406;0;1000
619700;2010112407;1;1000
619700;2010112408;19;1000
619700;2010112409;55.6;1000
619700;2010112410;73;1000
619700;2010112411;91.2;1000
619700;2010112412;73.7;1000
619700;2010112413;57.7;1000
619700;2010112414;38.7;1000
619700;2010112415;8;1000
619700;2010112416;0;1000
619700;2010112417;0;1000
619700;2010112418;0;1000
619700;2010112419;0;1000
