 statid;timeobs;Diffuse_illuminance_mean_[lx];Quality_label
610900;2009020618;     0;1000
610900;2009020619;     0;1000
610900;2009020620;     0;1000
610900;2009020621;     0;1000
610900;2009020622;     0;1000
610900;2009020623;     0;1000
610900;2009020700;     0;1000
610900;2009020701;     0;1000
610900;2009020702;     0;1000
610900;2009020703;     0;1000
610900;2009020704;     0;1000
610900;2009020705;     0;1000
610900;2009020706;     0;1000
610900;2009020707;     0;1000
610900;2009020708;   401;1000
610900;2009020709;  1885;1000
610900;2009020710;  5303;1000
610900;2009020711;  5531;1000
610900;2009020712;  6515;1000
610900;2009020713;  5269;1000
610900;2009020714;  2074;1000
610900;2009020715;  3566;1000
610900;2009020716;  1429;1000
610900;2009020717;     0;1000
610900;2009020718;     0;1000
610900;2009020719;     0;1000
610900;2009020720;     0;1000
610900;2009020721;     0;1000
610900;2009020722;     0;1000
610900;2009020723;     0;1000
610900;2009020800;     0;1000
610900;2009020801;     0;1000
610900;2009020802;     0;1000
610900;2009020803;     0;1000
610900;2009020804;     0;1000
610900;2009020805;     0;1000
610900;2009020806;     0;1000
610900;2009020807;     0;1000
610900;2009020808;  1738;1000
610900;2009020809;  8304;1000
610900;2009020810; 14927;1000
610900;2009020811; 11676;1000
610900;2009020812; 14515;1000
610900;2009020813; 15209;1000
610900;2009020814; 11200;1000
610900;2009020815;  9860;1000
610900;2009020816;  4421;1000
610900;2009020817;    86;1000
610900;2009020818;     0;1000
610900;2009020819;     0;1000
610900;2009020820;     0;1000
610900;2009020821;     0;1000
610900;2009020822;     0;1000
610900;2009020823;     0;1000
610900;2009020900;     0;1000
610900;2009020901;     0;1000
610900;2009020902;     0;1000
610900;2009020903;     0;1000
610900;2009020904;     0;1000
610900;2009020905;     0;1000
610900;2009020906;     0;1000
610900;2009020907;     0;1000
610900;2009020908;  2420;1000
610900;2009020909;  8275;1000
610900;2009020910;  9637;1000
610900;2009020911; 13778;1000
610900;2009020912; 14572;1000
610900;2009020913; 11790;1000
610900;2009020914;  6498;1000
610900;2009020915;  2749;1000
610900;2009020916;   436;1000
610900;2009020917;     0;1000
610900;2009020918;     0;1000
610900;2009020919;     0;1000
610900;2009020920;     0;1000
610900;2009020921;     0;1000
610900;2009020922;     0;1000
610900;2009020923;     0;1000
610900;2009021000;     0;1000
610900;2009021001;     0;1000
610900;2009021002;     0;1000
610900;2009021003;     0;1000
610900;2009021004;     0;1000
610900;2009021005;     0;1000
610900;2009021006;     0;1000
610900;2009021007;     0;1000
610900;2009021008;   779;1000
