 statid;timeobs;Global_illuminance_mean[_lx];Quality_label
603100;2009020204;     0;1000
603100;2009020205;     0;1000
603100;2009020206;     0;1000
603100;2009020207;     0;1000
603100;2009020208;   851;1000
603100;2009020209;  7736;1000
603100;2009020210; 11579;1000
603100;2009020211;  4970;1000
603100;2009020212;  5824;1000
603100;2009020213;  5087;1000
603100;2009020214;  3281;1000
603100;2009020215;  1932;1000
603100;2009020216;   299;1000
603100;2009020217;     0;1000
603100;2009020218;     0;1000
603100;2009020219;     0;1000
603100;2009020220;     0;1000
603100;2009020221;     0;1000
603100;2009020222;     0;1000
603100;2009020223;     0;1000
603100;2009020300;     0;1000
603100;2009020301;     0;1000
603100;2009020302;     0;1000
603100;2009020303;     0;1000
603100;2009020304;     0;1000
603100;2009020305;     0;1000
603100;2009020306;     0;1000
603100;2009020307;     0;1000
603100;2009020308;   287;1000
603100;2009020309;  1810;1000
603100;2009020310;  2081;1000
603100;2009020311;  2585;1000
603100;2009020312;  3243;1000
603100;2009020313;  3109;1000
603100;2009020314;  2301;1000
603100;2009020315;   778;1000
603100;2009020316;   111;1000
603100;2009020317;     0;1000
603100;2009020318;     0;1000
603100;2009020319;     0;1000
603100;2009020320;     0;1000
603100;2009020321;     0;1000
603100;2009020322;     0;1000
603100;2009020323;     0;1000
603100;2009020400;     0;1000
603100;2009020401;     0;1000
603100;2009020402;     0;1000
603100;2009020403;     0;1000
603100;2009020404;     0;1000
603100;2009020405;     0;1000
603100;2009020406;     0;1000
603100;2009020407;     0;1000
603100;2009020408;     0;1000
603100;2009020409;  2003;1000
603100;2009020410;  3172;1000
603100;2009020411;  3209;1000
603100;2009020412;  4171;1000
603100;2009020413;  5599;1000
603100;2009020414;  2713;1000
603100;2009020415;  1185;1000
603100;2009020416;   488;1000
603100;2009020417;     0;1000
603100;2009020418;     0;1000
603100;2009020419;     0;1000
603100;2009020420;     0;1000
603100;2009020421;     0;1000
603100;2009020422;     0;1000
603100;2009020423;     0;1000
603100;2009020500;     0;1000
603100;2009020501;     0;1000
603100;2009020502;     0;1000
603100;2009020503;     0;1000
603100;2009020504;     0;1000
603100;2009020505;     0;1000
603100;2009020506;     0;1000
603100;2009020507;     0;1000
603100;2009020508;   805;1000
603100;2009020509;  4612;1000
603100;2009020510;  9789;1000
603100;2009020511; 10066;1000
603100;2009020512; 11973;1000
603100;2009020513; 11742;1000
603100;2009020514;  6524;1000
603100;2009020515;  2150;1000
603100;2009020516;   582;1000
603100;2009020517;     0;1000
603100;2009020518;     0;1000
603100;2009020519;     0;1000
603100;2009020520;     0;1000
603100;2009020521;     0;1000
603100;2009020522;     0;1000
603100;2009020523;     0;1000
603100;2009020600;     0;1000
603100;2009020601;     0;1000
603100;2009020602;     0;1000
603100;2009020603;     0;1000
603100;2009020604;     0;1000
603100;2009020605;     0;1000
603100;2009020606;     0;1000
603100;2009020607;     0;1000
603100;2009020608;   723;1000
603100;2009020609;  2121;1000
603100;2009020610;  4635;1000
603100;2009020611;  4739;1000
603100;2009020612;  7350;1000
603100;2009020613; 10125;1000
603100;2009020614;  7881;1000
603100;2009020615;  1880;1000
603100;2009020616;   852;1000
603100;2009020617;     0;1000
603100;2009020618;     0;1000
603100;2009020619;     0;1000
603100;2009020620;     0;1000
603100;2009020621;     0;1000
603100;2009020622;     0;1000
603100;2009020623;     0;1000
603100;2009020700;     0;1000
603100;2009020701;     0;1000
603100;2009020702;     0;1000
603100;2009020703;     0;1000
603100;2009020704;     0;1000
603100;2009020705;     0;1000
603100;2009020706;     0;1000
603100;2009020707;     0;1000
603100;2009020708;   209;1000
603100;2009020709;  1377;1000
603100;2009020710;  3212;1000
603100;2009020711;  2410;1000
603100;2009020712;  3494;1000
603100;2009020713;  3870;1000
603100;2009020714;  2644;1000
603100;2009020715;   795;1000
603100;2009020716;   685;1000
603100;2009020717;     0;1000
603100;2009020718;     0;1000
603100;2009020719;     0;1000
603100;2009020720;     0;1000
603100;2009020721;     0;1000
603100;2009020722;     0;1000
603100;2009020723;     0;1000
603100;2009020800;     0;1000
603100;2009020801;     0;1000
603100;2009020802;     0;1000
603100;2009020803;     0;1000
603100;2009020804;     0;1000
603100;2009020805;     0;1000
603100;2009020806;     0;1000
603100;2009020807;     0;1000
603100;2009020808;  3090;1000
603100;2009020809;  9415;1000
603100;2009020810; 21743;1000
603100;2009020811; 25915;1000
603100;2009020812; 14900;1000
603100;2009020813; 16869;1000
603100;2009020814; 18958;1000
603100;2009020815;  7076;1000
603100;2009020816;  4581;1000
603100;2009020817;    72;1000
603100;2009020818;     0;1000
603100;2009020819;     0;1000
603100;2009020820;     0;1000
603100;2009020821;     0;1000
603100;2009020822;     0;1000
603100;2009020823;     0;1000
603100;2009020900;     0;1000
603100;2009020901;     0;1000
603100;2009020902;     0;1000
603100;2009020903;     0;1000
603100;2009020904;     0;1000
603100;2009020905;     0;1000
603100;2009020906;     0;1000
603100;2009020907;     0;1000
603100;2009020908;  2505;1000
603100;2009020909;  6013;1000
603100;2009020910; 10284;1000
603100;2009020911; 24758;1000
603100;2009020912; 31706;1000
603100;2009020913; 33594;1000
603100;2009020914; 23419;1000
603100;2009020915; 13402;1000
603100;2009020916;  4278;1000
603100;2009020917;    73;1000
603100;2009020918;     0;1000
603100;2009020919;     0;1000
603100;2009020920;     0;1000
603100;2009020921;     0;1000
603100;2009020922;     0;1000
603100;2009020923;     0;1000
603100;2009021000;     0;1000
603100;2009021001;     0;1000
603100;2009021002;     0;1000
603100;2009021003;     0;1000
603100;2009021004;     0;1000
603100;2009021005;     0;1000
603100;2009021006;     0;1000
603100;2009021007;     0;1000
603100;2009021008;   313;1000
603100;2009021009;  5289;1000
