statid;timeobs;radiation_mean(W/m^2);label
618800;2009020617;0;1100
618800;2009020618;0;1100
618800;2009020619;0;1100
618800;2009020620;0;1100
618800;2009020621;0;1100
618800;2009020622;0;1100
618800;2009020623;0;1100
618800;2009020700;0;1100
618800;2009020701;0;1100
618800;2009020702;0;1100
618800;2009020703;0;1100
618800;2009020704;0;1100
618800;2009020705;0;1100
618800;2009020706;0;1100
618800;2009020707;0;1100
618800;2009020708;4;1100
618800;2009020709;13;1100
618800;2009020710;29;1100
618800;2009020711;60;1100
618800;2009020712;57;1100
618800;2009020713;40;1100
618800;2009020714;26;1100
618800;2009020715;12;1100
618800;2009020716;3;1100
618800;2009020717;0;1100
618800;2009020718;0;1100
618800;2009020719;0;1100
618800;2009020720;0;1100
618800;2009020721;0;1100
618800;2009020722;0;1100
618800;2009020723;0;1100
618800;2009020800;0;1100
618800;2009020801;0;1100
618800;2009020802;0;1100
618800;2009020803;0;1100
618800;2009020804;0;1100
618800;2009020805;0;1100
618800;2009020806;0;1100
618800;2009020807;1;1100
618800;2009020808;18;1100
618800;2009020809;50;1100
618800;2009020810;78;1100
618800;2009020811;76;1100
618800;2009020812;214;1100
618800;2009020813;318;1100
618800;2009020814;232;1100
618800;2009020815;103;1100
618800;2009020816;27;1100
618800;2009020817;1;1100
618800;2009020818;0;1100
618800;2009020819;0;1100
618800;2009020820;0;1100
618800;2009020821;0;1100
618800;2009020822;0;1100
618800;2009020823;0;1100
618800;2009020900;0;1100
618800;2009020901;0;1100
618800;2009020902;0;1100
618800;2009020903;0;1100
618800;2009020904;0;1100
618800;2009020905;0;1100
618800;2009020906;0;1100
618800;2009020907;2;1100
618800;2009020908;52;1100
618800;2009020909;108;1100
618800;2009020910;164;1100
618800;2009020911;203;1100
618800;2009020912;193;1100
618800;2009020913;93;1100
618800;2009020914;75;1100
618800;2009020915;46;1100
618800;2009020916;23;1100
618800;2009020917;1;1100
618800;2009020918;0;1100
618800;2009020919;0;1100
618800;2009020920;0;1100
618800;2009020921;0;1100
618800;2009020922;0;1100
618800;2009020923;0;1100
618800;2009021000;0;1100
618800;2009021001;0;1100
618800;2009021002;0;1100
618800;2009021003;0;1100
618800;2009021004;0;1100
618800;2009021005;0;1100
618800;2009021006;0;1100
618800;2009021007;1;1100
618800;2009021008;29;1100
618800;2009021009;94;1100
618800;2009021010;149;1100
618800;2009021011;189;1100
618800;2009021012;179;1100
618800;2009021013;107;1100
618800;2009021014;68;1100
618800;2009021015;42;1100
618800;2009021016;12;1100
618800;2009021017;0;1100
618800;2009021018;0;1100
618800;2009021019;0;1100
618800;2009021020;0;1100
618800;2009021021;0;1100
618800;2009021022;0;1100
618800;2009021023;0;1100
618800;2009021100;0;1100
618800;2009021101;0;1100
618800;2009021102;0;1100
618800;2009021103;0;1100
618800;2009021104;0;1100
618800;2009021105;0;1100
618800;2009021106;0;1100
618800;2009021107;2;1100
618800;2009021108;23;1100
618800;2009021109;58;1100
618800;2009021110;99;1100
618800;2009021111;94;1100
618800;2009021112;153;1100
618800;2009021113;199;1100
618800;2009021114;129;1100
618800;2009021115;68;1100
618800;2009021116;25;1100
618800;2009021117;2;1100
618800;2009021118;0;1100
618800;2009021119;0;1100
618800;2009021120;0;1100
618800;2009021121;0;1100
618800;2009021122;0;1100
618800;2009021123;0;1100
618800;2009021200;0;1100
618800;2009021201;0;1100
618800;2009021202;0;1100
618800;2009021203;0;1100
618800;2009021204;0;1100
618800;2009021205;0;1100
618800;2009021206;0;1100
618800;2009021207;2;1100
618800;2009021208;35;1100
618800;2009021209;122;1100
618800;2009021210;180;1100
618800;2009021211;211;1100
618800;2009021212;228;1100
618800;2009021213;260;1100
618800;2009021214;213;1100
618800;2009021215;109;1100
618800;2009021216;57;1100
618800;2009021217;5;1100
618800;2009021218;0;1100
