statid;timeobs (UTC);vindretning (°);label
0° is quiet, 360° is wind from north, 90° is wind from east etc.
612300;2009012121;145;1100
612300;2009012122;148;1100
612300;2009012123;145;1100
612300;2009012200;143;1100
612300;2009012201;142;1100
612300;2009012202;145;1100
612300;2009012203;149;1100
612300;2009012204;152;1100
612300;2009012205;148;1100
612300;2009012206;170;1100
612300;2009012207;164;1100
612300;2009012208;166;1100
612300;2009012209;167;1100
612300;2009012210;157;1100
612300;2009012211;154;1100
612300;2009012212;155;1100
612300;2009012213;153;1100
612300;2009012214;144;1100
612300;2009012215;141;1100
612300;2009012216;146;1100
612300;2009012217;146;1100
612300;2009012218;151;1100
612300;2009012219;149;1100
612300;2009012220;155;1100
612300;2009012221;156;1100
612300;2009012222;164;1100
612300;2009012223;164;1100
612300;2009012300;165;1100
612300;2009012301;172;1100
612300;2009012302;176;1100
612300;2009012303;173;1100
612300;2009012304;173;1100
612300;2009012305;168;1100
612300;2009012306;156;1100
612300;2009012307;148;1100
612300;2009012308;134;1100
612300;2009012309;135.3;1000
612300;2009012310;122.5;1000
612300;2009012311;115.8;1000
612300;2009012312;114.9;1000
612300;2009012313;111.9;1000
612300;2009012314;116;1100
612300;2009012315;113.9;1000
612300;2009012316;112;1100
612300;2009012317;109;1100
612300;2009012318;111.2;1000
612300;2009012319;109;1100
612300;2009012320;106;1100
612300;2009012321;101;1100
612300;2009012322;97;1100
612300;2009012323;103;1100
612300;2009012400;102;1100
612300;2009012401;96;1100
612300;2009012402;100;1100
612300;2009012403;117;1100
612300;2009012404;219;1100
612300;2009012405;269;1100
612300;2009012406;261;1100
612300;2009012407;260;1100
612300;2009012408;254;1100
612300;2009012409;249;1100
612300;2009012410;245;1100
612300;2009012411;255;1100
612300;2009012412;257;1100
612300;2009012413;253;1100
612300;2009012414;243;1100
612300;2009012415;237;1100
612300;2009012416;243;1100
612300;2009012417;244;1100
612300;2009012418;243;1100
612300;2009012419;247;1100
612300;2009012420;258;1100
612300;2009012421;256;1100
612300;2009012422;238;1100
612300;2009012423;239;1100
612300;2009012500;240;1100
